"Gravelly"|"109077483"|"30951761"
"Very cobbly"|"109077484"|"30951763"
"Gravelly"|"109077487"|"30951808"
"Gravelly"|"109077488"|"30951801"
"Very gravelly"|"109077489"|"30951776"
"Gravelly"|"109077493"|"30951807"
"Very gravelly"|"109077494"|"30951796"
"Extremely cobbly"|"109077495"|"30951797"
"Very gravelly"|"109077496"|"30951762"
"Extremely cobbly"|"109077497"|"30951788"
"Gravelly"|"109077499"|"30951757"
"Very gravelly"|"109077501"|"30951759"
"Gravelly"|"109077502"|"30951758"
"Gravelly"|"109077503"|"30951765"
"Very gravelly"|"109077506"|"30951804"
"Very gravelly"|"109077507"|"30951805"
"Very gravelly"|"109077508"|"30951791"
"Gravelly"|"109077509"|"30951775"
"Gravelly"|"109077510"|"30951769"
"Very gravelly"|"109077512"|"30951793"
"Very gravelly"|"109077514"|"30951768"
"Very gravelly"|"109077516"|"30951803"
"Very gravelly"|"109077517"|"30951798"
"Extremely cobbly"|"109077518"|"30951799"
"Gravelly"|"109077520"|"30951777"
"Gravelly"|"109077522"|"30951785"
"Gravelly"|"109077523"|"30951786"
"Gravelly"|"109077524"|"30951783"
"Gravelly"|"109077525"|"30951773"
"Very gravelly"|"109077527"|"30951772"
"Very gravelly"|"109077528"|"30951770"
"Extremely cobbly"|"109077529"|"30951771"
"Very gravelly"|"109077532"|"30951789"
"Gravelly"|"109077533"|"30951755"
"Gravelly"|"109077535"|"30951806"
"Very cobbly"|"109077536"|"30951809"
"Gravelly"|"109077537"|"30951792"
"Very cobbly"|"109077538"|"30951784"
"Gravelly"|"109077539"|"30951787"
"Very gravelly"|"109077543"|"30951782"
"Gravelly"|"109077544"|"30951780"
"Gravelly"|"109077545"|"30951781"
"Very gravelly"|"109077546"|"30951778"
"Very gravelly"|"109077547"|"30951774"
"Gravelly"|"109077548"|"30951764"
"Very gravelly"|"109077549"|"30951790"
"Gravelly"|"109077550"|"30951756"
"Very gravelly"|"109077551"|"30951779"
|"109077554"|"30951766"
"Gravelly"|"109077554"|"30951767"
"Very cobbly"|"109077558"|"30951760"
"Gravelly"|"109077561"|"30951800"
"Very gravelly"|"109077563"|"30951802"
|"109077565"|"30951794"
"Gravelly"|"109077565"|"30951795"
