"Sand"||"107227441"|"109077520"
"Loamy sand"||"107227442"|"109077541"
"Sand"||"107227443"|"109077542"
"Sand"||"107227444"|"109077523"
"Loamy sand"||"107227445"|"109077502"
"Loamy sand"||"107227446"|"109077501"
|"Fragmental material"|"107227447"|"109077552"
"Loamy sand"||"107227448"|"109077484"
"Loamy sand"||"107227449"|"109077494"
"Sand"||"107227449"|"109077495"
"Sand"||"107227450"|"109077506"
"Sand"||"107227451"|"109077487"
"Sand"||"107227452"|"109077544"
"Loamy sand"||"107227453"|"109077545"
"Loamy sand"||"107227454"|"109077543"
|"Fragmental material"|"107227455"|"109077530"
"Sand"||"107227456"|"109077499"
"Loamy sand"||"107227457"|"109077498"
"Sand"||"107227458"|"109077521"
"Sand"||"107227459"|"109077507"
"Sand"||"107227460"|"109077488"
"Loamy sand"||"107227461"|"109077528"
"Sand"||"107227461"|"109077529"
"Loamy sand"||"107227462"|"109077527"
"Loamy sand"||"107227463"|"109077558"
"Sand"||"107227464"|"109077535"
"Sand"||"107227465"|"109077519"
"Loamy sand"||"107227466"|"109077534"
"Loamy sand"||"107227467"|"109077517"
"Sand"||"107227467"|"109077518"
"Loamy sand"||"107227468"|"109077536"
"Sand"||"107227469"|"109077508"
"Sand"||"107227470"|"109077548"
"Sand"||"107227471"|"109077503"
"Loamy sand"||"107227472"|"109077524"
"Loamy sand"||"107227473"|"109077546"
"Sand"||"107227474"|"109077490"
"Loamy sand"||"107227475"|"109077511"
"Sand"||"107227414"|"109077532"
"Sand"||"107227415"|"109077533"
|"Peat"|"107227416"|"109077531"
|"Mucky peat"|"107227417"|"109077505"
|"Muck"|"107227418"|"109077486"
"Sand"||"107227419"|"109077504"
"Loamy sand"||"107227420"|"109077485"
"Sand"||"107227421"|"109077549"
"Sand"||"107227422"|"109077550"
"Loamy sand"||"107227423"|"109077563"
"Sand"||"107227424"|"109077564"
"Sand"||"107227424"|"109077565"
"Loamy sand"||"107227425"|"109077566"
"Sand"||"107227426"|"109077561"
"Loamy sand"||"107227427"|"109077559"
"Sand"||"107227428"|"109077560"
"Sand"||"107227402"|"109077491"
"Loamy sand"||"107227403"|"109077513"
"Sand"||"107227404"|"109077551"
"Sand"||"107227405"|"109077509"
"Sand"||"107227406"|"109077537"
"Loamy sand"||"107227407"|"109077539"
"Loamy sand"||"107227408"|"109077512"
"Loamy sand"||"107227409"|"109077496"
"Sand"||"107227409"|"109077497"
"Loamy sand"||"107227410"|"109077538"
"Sand"||"107227411"|"109077522"
"Loamy sand"||"107227412"|"109077562"
"Sand"||"107227413"|"109077500"
"Sand"||"107227429"|"109077556"
"Loamy sand"||"107227430"|"109077555"
"Sand"||"107227431"|"109077553"
"Sand"||"107227431"|"109077554"
"Loamy sand"||"107227432"|"109077540"
"Loamy sand"||"107227433"|"109077514"
"Sand"||"107227434"|"109077516"
"Sand"||"107227435"|"109077493"
|"Peat"|"107227436"|"109077492"
|"Mucky peat"|"107227437"|"109077515"
|"Muck"|"107227438"|"109077557"
"Sand"||"107227439"|"109077489"
"Sand"||"107227440"|"109077510"
"Sand"||"107227476"|"109077526"
"Sand"||"107227477"|"109077525"
"Sand"||"107227478"|"109077483"
"Loamy sand"||"107227479"|"109077482"
"Loamy sand"||"107227480"|"109077547"
