0|0|0|107|107|107||"191693106"|"119889696"
107|107|107|183|183|183|"Wet"|"191693106"|"119889697"
0|0|0|107|107|107||"191693107"|"119889698"
107|107|107|183|183|183|"Wet"|"191693107"|"119889699"
0|0|0|107|107|107||"191693108"|"119889700"
107|107|107|183|183|183|"Wet"|"191693108"|"119889701"
0|0|0|107|107|107||"191693109"|"119889702"
107|107|107|183|183|183|"Wet"|"191693109"|"119889703"
0|0|0|107|107|107||"191693110"|"119889704"
107|107|107|183|183|183|"Wet"|"191693110"|"119889705"
0|0|0|107|107|107||"191693111"|"119889706"
107|107|107|183|183|183|"Wet"|"191693111"|"119889707"
0|0|0|107|107|107||"191693112"|"119889708"
107|107|107|183|183|183|"Wet"|"191693112"|"119889709"
0|0|0|107|107|107||"191693113"|"119889710"
107|107|107|183|183|183|"Wet"|"191693113"|"119889711"
0|0|0|107|107|107||"191693114"|"119889712"
107|107|107|183|183|183|"Wet"|"191693114"|"119889713"
0|0|0|107|107|107||"191693115"|"119889714"
107|107|107|183|183|183|"Wet"|"191693115"|"119889715"
0|0|0|107|107|107||"191693116"|"119889716"
107|107|107|183|183|183|"Wet"|"191693116"|"119889717"
0|0|0|107|107|107||"191693117"|"119889718"
107|107|107|183|183|183|"Wet"|"191693117"|"119889719"
0|0|0|0|10|20|"Moist"|"191693130"|"119889720"
0|10|20|200|200|200|"Wet"|"191693130"|"119889721"
0|0|0|0|10|20|"Moist"|"191693131"|"119889722"
0|10|20|200|200|200|"Wet"|"191693131"|"119889723"
0|0|0|0|10|20|"Moist"|"191693132"|"119889724"
0|10|20|200|200|200|"Wet"|"191693132"|"119889725"
0|0|0|0|10|20|"Moist"|"191693133"|"119889726"
0|10|20|200|200|200|"Wet"|"191693133"|"119889727"
0|0|0|0|10|20|"Moist"|"191693134"|"119889728"
0|10|20|200|200|200|"Wet"|"191693134"|"119889729"
0|0|0|0|10|20|"Moist"|"191693135"|"119889730"
0|10|20|200|200|200|"Wet"|"191693135"|"119889731"
0|0|0|0|10|20|"Moist"|"191693136"|"119889732"
0|10|20|200|200|200|"Wet"|"191693136"|"119889733"
0|0|0|0|10|20|"Moist"|"191693137"|"119889734"
0|10|20|200|200|200|"Wet"|"191693137"|"119889735"
0|0|0|0|10|20|"Moist"|"191693138"|"119889736"
0|10|20|200|200|200|"Wet"|"191693138"|"119889737"
0|0|0|0|10|20|"Moist"|"191693139"|"119889738"
0|10|20|200|200|200|"Wet"|"191693139"|"119889739"
0|0|0|0|10|20|"Moist"|"191693140"|"119889740"
0|10|20|200|200|200|"Wet"|"191693140"|"119889741"
0|0|0|0|10|20|"Moist"|"191693141"|"119889742"
0|10|20|200|200|200|"Wet"|"191693141"|"119889743"
0|0|0|107|107|107||"191693142"|"119889744"
107|107|107|183|183|183|"Wet"|"191693142"|"119889745"
0|0|0|107|107|107||"191693143"|"119889746"
107|107|107|183|183|183|"Wet"|"191693143"|"119889747"
0|0|0|107|107|107||"191693144"|"119889748"
107|107|107|183|183|183|"Wet"|"191693144"|"119889749"
0|0|0|107|107|107||"191693145"|"119889750"
107|107|107|183|183|183|"Wet"|"191693145"|"119889751"
0|0|0|107|107|107||"191693146"|"119889752"
107|107|107|183|183|183|"Wet"|"191693146"|"119889753"
0|0|0|107|107|107||"191693147"|"119889754"
107|107|107|183|183|183|"Wet"|"191693147"|"119889755"
0|0|0|107|107|107||"191693148"|"119889756"
107|107|107|183|183|183|"Wet"|"191693148"|"119889757"
0|0|0|107|107|107||"191693149"|"119889758"
107|107|107|183|183|183|"Wet"|"191693149"|"119889759"
0|0|0|107|107|107||"191693150"|"119889760"
107|107|107|183|183|183|"Wet"|"191693150"|"119889761"
0|0|0|107|107|107||"191693151"|"119889762"
107|107|107|183|183|183|"Wet"|"191693151"|"119889763"
0|0|0|107|107|107||"191693152"|"119889764"
107|107|107|183|183|183|"Wet"|"191693152"|"119889765"
0|0|0|107|107|107||"191693153"|"119889766"
107|107|107|183|183|183|"Wet"|"191693153"|"119889767"
0|0|0|0|10|20|"Moist"|"191693166"|"119889768"
0|10|20|200|200|200|"Wet"|"191693166"|"119889769"
0|0|0|0|10|20|"Moist"|"191693167"|"119889770"
0|10|20|200|200|200|"Wet"|"191693167"|"119889771"
0|0|0|0|10|20|"Moist"|"191693168"|"119889772"
0|10|20|200|200|200|"Wet"|"191693168"|"119889773"
0|0|0|0|10|20|"Moist"|"191693169"|"119889774"
0|10|20|200|200|200|"Wet"|"191693169"|"119889775"
